HeLa (cervix adenocarcinoma); erythroleukemia cells	 
 	ARMC5
 	TNFRSF21
 	RLN1
 	COL4A6
 	RPS14
 	GBAS
 	MTMR8
 	F8
 	FZD4


BPE cells (breast epithelium); HME1 cells (breast epithelium); HeLa (cervix adenocarcinoma); K562 cells (erythroleukemia cells); MCF7 cells (breast epithelium); erythroleukemia cells	 
 	HSPA1A
 	HSPA1L
 	NXT2


BPE cells (breast epithelium); BPLER cells (breast epithelium); HME1 cells (breast epithelium); HeLa (cervix adenocarcinoma); K562 cells (erythroleukemia cells); MCF7 cells (breast epithelium); erythroleukemia cells	 
 	DNAJB1
 	SERPINH1
 	HSPA4L
 	HSPH1
 	HSPB1
 	DEDD2
 	FKBP4
 	UBB
 	AHSA1
 	STIP1


BPE cells (breast epithelium); HME1 cells (breast epithelium); HeLa (cervix adenocarcinoma); K562 cells (erythroleukemia cells); erythroleukemia cells	 
 	HSPB2
 	FAM46A
 	CRYBA4


BPE cells (breast epithelium); BPLER cells (breast epithelium); HME1 cells (breast epithelium); HeLa (cervix adenocarcinoma); K562 cells (erythroleukemia cells); erythroleukemia cells	 
 	HSPA6
 	CHORDC1


BPE cells (breast epithelium); BPLER cells (breast epithelium); HME1 cells (breast epithelium); HMLER cells (breast epithelium); HeLa (cervix adenocarcinoma); K562 cells (erythroleukemia cells); MCF7 cells (breast epithelium); erythroleukemia cells	 
 	MRPL18
 	DNAJB6
 	ST13
 	HSPD1


BPE cells (breast epithelium); BPLER cells (breast epithelium); HME1 cells (breast epithelium); HeLa (cervix adenocarcinoma); MCF7 cells (breast epithelium); erythroleukemia cells	 
 	PARP12
 	CACYBP


HeLa (cervix adenocarcinoma); K562 cells (erythroleukemia cells); erythroleukemia cells	 
 	GML


erythroleukemia cells	 
 	taf7
 	SARAF
 	hspe1
 	FGF18


BPLER cells (breast epithelium); HeLa (cervix adenocarcinoma); K562 cells (erythroleukemia cells); erythroleukemia cells	 
 	GPR4


BPE cells (breast epithelium); BPLER cells (breast epithelium); HME1 cells (breast epithelium); HMLER cells (breast epithelium); K562 cells (erythroleukemia cells); MCF7 cells (breast epithelium); erythroleukemia cells	 
 	XPNPEP3
 	HSP90AB1


BPE cells (breast epithelium); BPLER cells (breast epithelium); HME1 cells (breast epithelium); HeLa (cervix adenocarcinoma); erythroleukemia cells	 
 	SUGT1


BPLER cells (breast epithelium); HeLa (cervix adenocarcinoma); erythroleukemia cells	 
 	CNDP2


BPLER cells (breast epithelium); HME1 cells (breast epithelium); HeLa (cervix adenocarcinoma); MCF7 cells (breast epithelium); erythroleukemia cells	 
 	FXR1


BPE cells (breast epithelium); BPLER cells (breast epithelium); HME1 cells (breast epithelium); HMLER cells (breast epithelium); K562 cells (erythroleukemia cells)	 
 	CCT8
 	DPP9


