Oocyte	 
 	Stag2
 	Stag3
 	Syce1
 	Aurkc
 	Bub1b
 	Mad2l2
 	Ppp3ca
 	Rad51l3
 	Sgol2
 	Tex15
 	Cdc16
 	Hgf
 	Inha
 	Myd116
 	Nfatc1
 	Rassf4
 	Rhob
 	Ccdc16
 	Ccne1
 	Cdkn1b
 	Cdkn1c
 	Dusp1
 	Hspa2
 	Ppm1d
 	Ddit3
 	E2f2
 	E2f4
 	Elk3
 	Fosb
 	Bin3
 	Katnb1
 	Mtap9
 	Nedd9
 	Nf2
 	sept3
 	sept14
 	Appl1
 	H2afx
 	Hdac9
 	Hmg20b
 	Prm2
 	B230120H23Rik
 	Papd5
 	Prmt5
 	Txnl4a
 	Hectd3
 	Lig1
 	Lig4
 	E130016E03Rik
 	Gm8355
 	Ddx11


Hepatocyte; Spermatocyte	 
 	Hsp90aa1
 	Ube2g2
 	Ipo13
 	Cbx5
 	Rbm25
 	Ppp2r3a
 	Rragc
 	Ptprd
 	Crim1
 	Mrps27
 	Arhgap1
 	Atp8b3
 	AY074887
 	St13
 	Uspl1
 	Lifr
 	Slco2a1
 	Rpl7l1
 	Hspe1
 	Atl2
 	Pcdh17
 	Gpr98
 	Slc35e2
 	Nemf
 	Daam2
 	Dhfr
 	Klf4
 	Sulf2
 	Bsx
 	Rexo1
 	Galnt11
 	Smc6
 	Mbnl1
 	Arid4b
 	2610507B11Rik
 	Umps
 	Dhx32
 	Ctsb
 	Fbxo36
 	Clip1
 	Dock9
 	Gypc
 	Rps15a
 	Rps13
 	Lrrc39
 	Pla2g10
 	Nbas
 	Cse1l
 	Postn
 	Vti1a
 	Trim66
 	Gm13154
 	Ddx55
 	Hnrpll
 	Plekha5
 	Ipo9
 	Tmem174
 	Spag17
 	Ankle2
 	Inpp5f
 	Atp5g3
 	BC003331
 	Synj2
 	Foxred1
 	Cntf
 	Gdpd1
 	Inpp5d
 	Dctd
 	Hnrnpab
 	Cacybp
 	Cep192
 	Zfp521
 	Lphn2
 	Rev1
 	Sbno2
 	Col24a1
 	Tlr2
 	Brf1
 	Gal3st1
 	Acap3
 	Fam13b
 	Tmx3
 	Zhx3
 	Sntn
 	Sfxn1
 	Zbtb37
 	Stip1
 	Rwdd4a
 	Mrps35
 	Tbc1d2b
 	Dppa4
 	H2-Q1
 	Scd1
 	Wdfy3
 	Rpl6
 	Atf2
 	Slc30a9
 	Tnfsf4
 	Coq3
 	Dynll1
 	Iqce
 	Tcp1
 	Pbrm1
 	Ccrl1
 	Nisch
 	Dedd2
 	Dnajb12
 	Rabgap1l
 	Shox2
 	4930474N05Rik
 	Efcab6
 	Ctnnd2
 	Mgl2
 	Rex2
 	Gga2
 	Eif1
 	Nsa2
 	Dtnbp1
 	Rpl23a
 	Ank3
 	Ndufb2
 	Ccdc90b
 	Gm3417
 	Trp53bp1
 	Adam9
 	Cnst
 	Chordc1
 	Kank1
 	Gbf1
 	Zfp869
 	Rhou
 	Tomm7
 	Txndc11
 	Wdr34
 	Gm13152
 	Slc9a8
 	Itpr1
 	Sfswap
 	Aptx
 	Nipbl
 	Tctn2
 	Hsp90ab1
 	Cyp7b1
 	Dnaja1
 	Fam105b
 	Fcrl1
 	Snrnp48
 	Usp34
 	Ahi1
 	Cartpt
 	Ndnl2
 	Tanc1
 	Acat2
 	Opa1
 	Dnttip2
 	Ints4
 	Litaf
 	Acat1
 	Zfp142
 	Hsph1
 	Ints2
 	Ercc8
 	Smc5
 	Chd1l
 	Gm5434
 	Prlr
 	Phip
 	Oprd1
 	Ift46
 	Ythdc1
 	Ptov1
 	Sdhaf2
 	Rabif
 	Srrm4
 	Setx
 	Fam193a
 	Foxo1
 	Noc3l
 	Cdc27
 	Atg4c
 	Hspd1
 	Hnrnpa2b1
 	Hspa1a
 	Dnaja4
 	Ubqln1
 	D15Ertd621e
 	Zfand2a
 	Eif2s2
 	Ptges3
 	Tmem80
 	Gpr151
 	Cnot10
 	Ccndbp1
 	Braf
 	Ly86
 	Trerf1
 	Dbpht2
 	Zbtb20
 	Ttc39a
 	Cep250
 	2410131K14Rik
 	Narg2
 	Cdc42se2
 	1700030J22Rik
 	Ahsa1
 	Gigyf2
 	Unc50
 	Chchd2
 	Hmgn1
 	Dera
 	Ppfibp2
 	Helz
 	Rps6ka5
 	Ubr3
 	Zbed3
 	1700109H08Rik
 	Acsl1
 	Srpr
 	Ubr2
 	Dym
 	Jmjd1c
 	Ica1
 	Bach1
 	Rbms3
 	Slc25a13
 	Tjp2
 	Cyp2c44
 	Ermp1
 	Terf2ip
 	Txk
 	Psen1
 	Sertad2
 	Oxr1
 	Mex3c
 	Hyls1
 	Ehbp1
 	Slc20a1
 	Hspa9
 	F5
 	Rbfox2
 	Cnksr3
 	Cct8
 	Vti1b
 	Sema5a
 	Limk2
 	Ppp2r5c
 	Ears2
 	Tshz3
 	Pum1
 	Lrrn2
 	Slc10a2
 	Npm2
 	Nnt
 	Eef1a1
 	Tas2r126
 	Mzt1
 	Pnpla8
 	Agphd1
 	Glmn
 	Ficd
 	Maml1
 	Grip1
 	Fgfr1
 	Trrap
 	Tm9sf3
 	Sgk2
 	Dpys
 	Larp1
 	Cnot1
 	Fech
 	Slc17a8
 	Acsbg2
 	Rprd2
 	Gramd3
 	Nuak2
 	Tmprss2
 	Fgd4
 	Mtf2
 	Ppfia2
 	Fat4
 	Fam173b
 	Nab1
 	Nmnat2
 	D930015E06Rik
 	Nat10
 	Nupl2
 	Dmtf1
 	Wdr92
 	Fstl4
 	Cdadc1
 	Vps8
 	Akr1d1
 	Uhrf1bp1l
 	Smpdl3b
 	Naa16
 	Mapk8ip3
 	Atg7
 	Tmprss9
 	Ddx17
 	Cxxc4
 	Rbm5
 	Pcbd2
 	Gabpa
 	Nfib
 	Trim32
 	Gm15800
 	Chn2
 	Cnr1
 	Mrps31
 	Map3k4
 	Pde7b
 	3110043O21Rik
 	Zfp280d
 	Sept8
 	Lars
 	Tmem135
 	Xirp1
 	Dscam
 	Rbm27
 	Cct6a
 	Ccdc122
 	Ssty2
 	Gimap8
 	Slc30a5
 	Prmt3
 	Cct3
 	Atg16l1
 	Nap1l3
 	Banp
 	Trip12
 	Agrn
 	Baz2b
 	Tmem208
 	Ctsl
 	Tollip
 	Dmxl1
 	Serac1
 	6330578E17Rik
 	2700050L05Rik
 	2610305D13Rik
 	Mosc1
 	Supt16h
 	Gm13051
 	C330005M16Rik
 	AI314180
 	Vipar
 	Gcfc1
 	Zcchc6
 	Ikbkap
 	1810035L17Rik
 	2610524H06Rik
 	BC031353
 	Fam178a
 	Diap1
 	Gm13139
 	E430025E21Rik
 	5830418K08Rik
 	1200016B10Rik
 	C330019G07Rik
 	BC026590
 	Hn1l
 	2510003E04Rik
 	Fam179b
 	Ccdc75
 	Supt5h
 	8430410A17Rik
 	2410091C18Rik
 	Smek1
 	2310021P13Rik
 	D10Wsu52e
 	4921513D23Rik
 	Dopey2
 	Cirh1a
 	Zfml
 	A330049M08Rik
 	Mtmr15
 	1700021C14Rik
 	Erbb2ip
 	A730011L01Rik
 	Ssfa2
 	Usmg5
 	0610037L13Rik
 	0610007P08Rik
