species combination	targets
human	3713
worm	192
fly	43
mouse	3323
rat	233
yeast	27
human,worm	79
human,fly	12
human,mouse	1678
human,rat	111
human,yeast	11
worm,human	79
worm,fly	1
worm,mouse	90
worm,rat	5
worm,yeast	5
fly,human	12
fly,worm	1
fly,mouse	15
fly,rat	0
fly,yeast	0
mouse,human	1678
mouse,worm	90
mouse,fly	15
mouse,rat	83
mouse,yeast	8
rat,human	111
rat,worm	5
rat,fly	0
rat,mouse	83
rat,yeast	0
yeast,human	11
yeast,worm	5
yeast,fly	0
yeast,mouse	8
yeast,rat	0
human,worm,fly	1
human,worm,mouse	55
human,worm,rat	5
human,worm,yeast	1
human,fly,worm	1
human,fly,mouse	15
human,fly,rat	1
human,fly,yeast	0
human,mouse,worm	55
human,mouse,fly	15
human,mouse,rat	58
human,mouse,yeast	9
human,rat,worm	5
human,rat,fly	1
human,rat,mouse	58
human,rat,yeast	2
human,yeast,worm	1
human,yeast,fly	0
human,yeast,mouse	9
human,yeast,rat	2
worm,human,fly	1
worm,human,mouse	55
worm,human,rat	5
worm,human,yeast	1
worm,fly,human	1
worm,fly,mouse	2
worm,fly,rat	0
worm,fly,yeast	0
worm,mouse,human	55
worm,mouse,fly	2
worm,mouse,rat	3
worm,mouse,yeast	1
worm,rat,human	5
worm,rat,fly	0
worm,rat,mouse	3
worm,rat,yeast	0
worm,yeast,human	1
worm,yeast,fly	0
worm,yeast,mouse	1
worm,yeast,rat	0
fly,human,worm	1
fly,human,mouse	15
fly,human,rat	1
fly,human,yeast	0
fly,worm,human	1
fly,worm,mouse	2
fly,worm,rat	0
fly,worm,yeast	0
fly,mouse,human	15
fly,mouse,worm	2
fly,mouse,rat	1
fly,mouse,yeast	0
fly,rat,human	1
fly,rat,worm	0
fly,rat,mouse	1
fly,rat,yeast	0
fly,yeast,human	0
fly,yeast,worm	0
fly,yeast,mouse	0
fly,yeast,rat	0
mouse,human,worm	55
mouse,human,fly	15
mouse,human,rat	58
mouse,human,yeast	9
mouse,worm,human	55
mouse,worm,fly	2
mouse,worm,rat	3
mouse,worm,yeast	1
mouse,fly,human	15
mouse,fly,worm	2
mouse,fly,rat	1
mouse,fly,yeast	0
mouse,rat,human	58
mouse,rat,worm	3
mouse,rat,fly	1
mouse,rat,yeast	0
mouse,yeast,human	9
mouse,yeast,worm	1
mouse,yeast,fly	0
mouse,yeast,rat	0
rat,human,worm	5
rat,human,fly	1
rat,human,mouse	58
rat,human,yeast	2
rat,worm,human	5
rat,worm,fly	0
rat,worm,mouse	3
rat,worm,yeast	0
rat,fly,human	1
rat,fly,worm	0
rat,fly,mouse	1
rat,fly,yeast	0
rat,mouse,human	58
rat,mouse,worm	3
rat,mouse,fly	1
rat,mouse,yeast	0
rat,yeast,human	2
rat,yeast,worm	0
rat,yeast,fly	0
rat,yeast,mouse	0
yeast,human,worm	1
yeast,human,fly	0
yeast,human,mouse	9
yeast,human,rat	2
yeast,worm,human	1
yeast,worm,fly	0
yeast,worm,mouse	1
yeast,worm,rat	0
yeast,fly,human	0
yeast,fly,worm	0
yeast,fly,mouse	0
yeast,fly,rat	0
yeast,mouse,human	9
yeast,mouse,worm	1
yeast,mouse,fly	0
yeast,mouse,rat	0
yeast,rat,human	2
yeast,rat,worm	0
yeast,rat,fly	0
yeast,rat,mouse	0
human,worm,fly,mouse	4
human,worm,fly,rat	1
human,worm,fly,yeast	0
human,worm,mouse,fly	4
human,worm,mouse,rat	2
human,worm,mouse,yeast	2
human,worm,rat,fly	1
human,worm,rat,mouse	2
human,worm,rat,yeast	0
human,worm,yeast,fly	0
human,worm,yeast,mouse	2
human,worm,yeast,rat	0
human,fly,worm,mouse	4
human,fly,worm,rat	1
human,fly,worm,yeast	0
human,fly,mouse,worm	4
human,fly,mouse,rat	4
human,fly,mouse,yeast	2
human,fly,rat,worm	1
human,fly,rat,mouse	4
human,fly,rat,yeast	0
human,fly,yeast,worm	0
human,fly,yeast,mouse	2
human,fly,yeast,rat	0
human,mouse,worm,fly	4
human,mouse,worm,rat	2
